,date,rate,cumulative_rate
0,2022-01-23 19:30:00,23000,
1,2022-01-24 04:30:00,23450,450.0
2,2022-01-25 04:30:00,23100,-350.0
3,2022-01-26 04:30:00,22850,-250.0
4,2022-01-27 04:30:00,22500,-350.0
5,2022-01-28 04:30:00,22300,-200.0
6,2022-01-29 04:30:00,21900,-400.0
7,2022-01-30 04:30:00,21700,-200.0
8,2022-01-31 04:30:00,20200,-1500.0
9,2022-02-01 04:30:00,20400,200.0
10,2022-02-02 04:30:00,20800,400.0
11,2022-02-03 04:30:00,21500,700.0
12,2022-02-04 04:30:00,21250,-250.0
13,2022-02-05 04:30:00,21150,-100.0
14,2022-02-06 04:30:00,21050,-100.0
15,2022-02-07 04:30:00,21100,50.0
16,2022-02-08 04:30:00,21050,-50.0
17,2022-02-09 04:30:00,21050,0.0
18,2022-02-10 04:30:00,20850,-200.0
19,2022-02-11 04:30:00,20850,0.0
20,2022-02-12 04:30:00,20900,50.0
21,2022-02-13 04:30:00,20875,-25.0
22,2022-02-14 04:30:00,20775,-100.0
23,2022-02-15 04:30:00,20800,25.0
24,2022-02-16 04:30:00,20850,50.0
25,2022-02-17 04:30:00,20700,-150.0
26,2022-02-18 04:30:00,20500,-200.0
27,2022-02-19 04:30:00,20450,-50.0
28,2022-02-20 17:39:37,20600,150.0
29,2022-02-21 16:28:05,20550,-50.0
30,2022-02-22 09:42:05,20550,0.0
31,2022-02-23 18:14:53,20550,0.0
32,2022-02-24 09:59:28,20550,0.0
33,2022-02-26 10:38:08,20600,50.0
34,2022-02-27 06:30:50,20550,-50.0
35,2022-02-27 13:40:23,20550,0.0
36,2022-02-28 17:53:55,20500,-50.0
37,2022-03-01 06:11:51,20500,0.0
38,2022-03-01 14:34:52,20500,0.0
39,2022-03-02 07:25:23,20550,50.0
40,2022-03-03 07:32:45,20550,0.0
41,2022-03-04 07:19:33,20550,0.0
42,2022-03-05 06:50:17,20550,0.0
43,2022-03-06 05:59:17,20600,50.0
44,2022-03-06 15:30:39,20600,0.0
45,2022-03-07 10:04:30,20600,0.0
46,2022-03-08 07:32:12,20600,0.0
47,2022-03-09 07:43:48,20600,0.0
48,2022-03-09 10:17:03,21600,1000.0
49,2022-03-09 16:31:46,21900,300.0
50,2022-03-10 06:32:31,22200,300.0
51,2022-03-10 13:16:23,22200,0.0
52,2022-03-11 06:46:50,22300,100.0
53,2022-03-12 07:11:57,22300,0.0
54,2022-03-12 14:40:49,22400,100.0
55,2022-03-12 17:43:40,22400,0.0
56,2022-03-13 07:38:32,22400,0.0
57,2022-03-14 07:47:34,22400,0.0
58,2022-03-14 11:14:13,22350,-50.0
59,2022-03-14 15:37:36,22300,-50.0
60,2022-03-14 17:36:26,22300,0.0
61,2022-03-15 06:39:53,22300,0.0
62,2022-03-15 09:31:41,22250,-50.0
63,2022-03-15 13:26:16,22250,0.0
64,2022-03-16 07:12:22,22200,-50.0
65,2022-03-16 09:30:45,22200,0.0
66,2022-03-16 14:10:07,22150,-50.0
67,2022-03-16 15:57:17,22150,0.0
